Research.topic,Software.usage,OS,Prog.experience,R.experience
Ecology,Excel,Mac OSX,3,No
Behavior,SAS,Windows ,4,No
Ecology,Excel,Windows ,1,No
Evolutionary biology,Excel,Windows ,2,Yes
Ecology,Excel,Windows ,1,No
Other,Excel,Mac OSX,1,No
Evolutionary biology,Matlab,Windows ,2,Yes
Conservation,Excel,Mac OSX,3,No
Behavior,SAS,Windows ,2,Yes
Conservation,R,Linux,2,No
Ecology,SAS,Mac OSX,2,Yes
Genetics,Excel,Mac OSX,1,No
Ecology,Excel,Windows ,4,No
Evolutionary biology,Excel,Windows ,2,Yes
Evolutionary biology,Some programming language,Mac OSX,7,Yes
Ecology,SPSS,Windows ,3,Yes
Ecology,SAS,Windows ,3,Yes
Conservation,SPSS,Windows ,1,No
Molecular biology,Excel,Windows ,2,No
Ecology,R,Windows ,2,Yes
Evolutionary biology,Excel,Mac OSX,3,No
Ecology,Excel,Windows ,1,No
Evolutionary biology,Matlab,Mac OSX,7,No
